,scrnum,scr,dest,time,destnum
274,11853994121,roiubqfafi4p5,wo1y2hfa4mu05,1.58E+12,11355359422
275,11853994123,toiubqfadp25m,981y2hfapqmbq,1.58E+12,11355360155
276,11853994124,uoiubqfaqxhz1,so2y2hfazkvfi,1.58E+12,11355360714
277,11853994128,yoiubqfaxqe8q,gx0y2hfaqp4nx,1.58E+12,11355358434
278,11853994130,0oiubqfapr2ul,rh1y2hfafju1f,1.58E+12,11355359165
279,11853994131,1oiubqfaynob1,vlzy2hfa086l5,1.58E+12,11355356721
280,11853994132,2oiubqfa7tije,v90y2hfaexfff,1.58E+12,11355358881
281,11853994133,3oiubqfa7k62i,880y2hfar1ogq,1.58E+12,11355358858
282,11853994134,4oiubqfaqk7k0,qo0y2hfaf44yh,1.58E+12,11355358120
283,11853994135,5oiubqfa7pyh7,ko0y2hfadx8jl,1.58E+12,11355358114
284,11853994137,7oiubqfacwrnz,wi0y2hfak6fhs,1.58E+12,11355357910
285,11853994138,8oiubqfacfnh3,ie1y2hfakrmd2,1.58E+12,11355359048
286,11853994139,9oiubqfa1pqti,po0y2hfasdkr4,1.58E+12,11355358119
287,11853994141,bpiubqfazzb5t,n90y2hfaxaqg3,1.58E+12,11355358873
288,11853994142,cpiubqfa3a9js,2xzy2hfa3zjqh,1.58E+12,11355357160
289,11853994143,dpiubqfancvro,xk2y2hfa6kej7,1.58E+12,11355360575
290,11853994145,fpiubqfazhmmm,jx0y2hfaoxrb2,1.58E+12,11355358437
291,11853994147,hpiubqfapo8l3,230y2hfas4rt4,1.58E+12,11355358672
292,11853994150,kpiubqfanw178,av1y2hfaejszn,1.58E+12,11355359652
293,11853994153,npiubqfatz7m2,930y2hfa0s8um,1.58E+12,11355358679
294,11853994156,qpiubqfasv4et,cb1y2hfa7070o,1.58E+12,11355358934
295,11853994157,rpiubqfa1q78e,750y2hfassmr6,1.58E+12,11355358749
296,11853994159,tpiubqfasrzn9,i60y2hfa1e4o5,1.58E+12,11355358760
297,11853994160,upiubqfau6gvw,970y2hfaj4k2r,1.58E+12,11355358823
298,11853994163,xpiubqfaixvzt,uuzy2hfa9uqoz,1.58E+12,11355357044
299,11853994166,0piubqfa4ewtm,nw1y2hfarjwyg,1.58E+12,11355359701
300,11853994170,4piubqfaswetn,lq0y2hfa5q2h3,1.58E+12,11355358187
301,11853994172,6piubqfagbs1j,vvzy2hfanhfcs,1.58E+12,11355357081
302,11853994175,9piubqfa17t1g,hszy2hfa5hkek,1.58E+12,11355356959
303,11853994178,cqiubqfa6qhs2,gp0y2hfa0u4qr,1.58E+12,11355358146
304,11853994179,dqiubqfat9kup,u90y2hfapsd5b,1.58E+12,11355358880
305,11853994181,fqiubqfa9j2va,440y2hfazts02,1.58E+12,11355358710
306,11853994182,gqiubqfab94bd,x90y2hfa9fgbw,1.58E+12,11355358883
307,11853994184,iqiubqfanox2x,qb1y2hfarz57d,1.58E+12,11355358948
308,11853994185,jqiubqfadrs55,o90y2hfaax1yr,1.58E+12,11355358874
309,11853994187,lqiubqfa8larq,rb1y2hfaxtya0,1.58E+12,11355358949
310,11853994188,mqiubqfa34jz4,euzy2hfaj7ngy,1.58E+12,11355357028
311,11853994190,oqiubqfardw06,jo0y2hfa6c5ut,1.58E+12,11355358113
312,11853994191,pqiubqfahzd97,1b1y2hfa3twii,1.58E+12,11355358959
313,11853994192,qqiubqfadglhd,7h2y2hfadilwe,1.58E+12,11355360477
314,11853994193,rqiubqfa7jwoi,ev1y2hfaqm9mw,1.58E+12,11355359656
315,11853994194,sqiubqfa4emf4,xv0y2hfaurbza,1.58E+12,11355358379
316,11853994196,uqiubqfa9fa3o,9u1y2hfa7tpat,1.58E+12,11355359651
317,11853994197,vqiubqfav61p9,4jzy2hfanclg7,1.58E+12,11355356658
318,11853994199,xqiubqfa7ie19,tw1y2hfa09nag,1.58E+12,11355359707
319,11853994200,yqiubqfaerxa7,240y2hfa1kx7v,1.58E+12,11355358708
320,11853994205,3qiubqfavc9jh,hxzy2hfavcq3n,1.58E+12,11355357139
321,11853994206,4qiubqfaavco2,wlzy2hfac7rfs,1.58E+12,11355356722
322,11853994208,6qiubqfao5q5g,duzy2hfaqqjna,1.58E+12,11355357027
323,11853994209,7qiubqfaqsh04,ho0y2hfa63wr6,1.58E+12,11355358111
324,11853994211,9qiubqfak73if,k60y2hfa6d3vi,1.58E+12,11355358762
